name,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
padova,84,88,47,57,66,101,42,102,129,122,94,93,172,141,114,118,115,64,76,104,121,64,79,112,119,102,91,78,72,44,60,44,53,43,87,54,42,34,26,28,30,18,25,8,16,9,9,0,15,11,5,0,4,5,3,6,4,2,4,5,3
parma,88,52,92,45,93,0,69,110,35,195,155,71,90,86,79,62,57,50,74,72,44,34,118,74,42,48,30,26,52,39,19,42,9,34,82,27,43,45,74,22,64,26,12,23,39,39,10,22,13,20,22,5,23,3,14,16,6,19,13,17,2
pavia,14,140,100,79,83,94,33,94,89,112,138,55,79,107,27,165,97,62,97,47,105,46,168,120,81,35,88,66,74,86,84,60,53,70,74,58,88,46,59,64,93,76,117,45,8,85,99,52,69,67,40,34,32,29,70,31,52,38,35,24,19
pesaro_e_urbino,93,95,121,21,79,98,73,116,87,63,63,59,61,42,1,32,70,62,25,58,34,30,34,33,66,37,45,43,49,28,19,41,14,35,19,28,16,19,21,14,19,8,27,10,17,11,34,17,16,15,8,11,31,15,18,26,9,11,17,8,15
piacenza,31,143,159,61,131,136,88,147,118,72,120,96,141,91,63,114,85,41,119,81,49,46,31,50,44,17,27,40,29,14,37,38,29,56,26,25,25,70,24,67,73,53,49,60,56,75,92,75,69,53,60,39,37,35,9,5,34,12,15,14,11
reggio_emilia,15,15,32,56,58,115,194,165,204,190,202,68,149,112,163,135,150,62,99,246,112,135,108,158,101,48,137,153,125,135,84,39,59,35,71,37,127,101,34,17,68,45,38,32,25,8,8,20,47,53,20,32,13,10,11,13,7,16,11,3,5
roma,56,70,66,58,74,104,88,77,138,156,122,116,141,139,136,136,106,123,118,74,133,110,117,94,55,61,80,116,88,105,96,116,129,105,102,121,130,64,51,56,68,56,48,73,67,68,73,52,62,51,56,48,37,57,75,37,47,38,27,21,16
torino,118,0,54,183,207,293,0,514,124,309,209,298,317,295,253,297,275,217,305,256,280,304,477,213,195,195,220,330,301,379,334,190,210,317,460,387,288,353,134,332,414,217,374,321,263,125,240,275,259,213,292,191,122,102,98,88,116,108,66,66,71
trento,56,43,172,0,7,70,68,119,140,172,69,87,112,75,94,114,89,88,64,124,133,106,111,65,63,128,126,106,108,154,83,73,15,79,74,82,55,101,58,24,32,81,49,62,56,101,30,44,47,16,49,66,11,3,19,3,2,7,3,2,6
treviso,48,49,37,39,50,89,46,82,87,129,64,92,86,77,56,49,43,47,73,32,52,51,30,25,14,12,125,43,38,29,10,0,49,1,102,102,63,15,10,26,35,9,25,19,14,23,7,4,24,7,21,12,6,3,3,2,23,19,0,2,4
varese,27,33,26,18,32,31,45,28,21,27,35,29,18,34,209,57,44,54,27,44,65,83,63,43,102,33,22,143,98,44,30,48,102,71,69,68,85,52,38,55,51,38,36,31,60,29,72,51,48,38,10,68,55,53,127,55,75,16,18,14,77
venezia,43,34,46,28,22,48,49,99,92,66,67,38,37,46,35,64,48,40,63,61,62,28,41,63,62,56,87,121,29,103,74,26,25,5,23,60,20,27,34,14,88,29,32,2,5,19,52,7,13,33,16,15,11,6,31,18,7,5,16,3,12
verona,60,65,60,90,56,145,60,98,170,92,53,129,76,98,243,109,122,106,130,175,118,83,59,141,67,101,64,129,208,145,93,52,25,77,81,75,75,94,24,72,94,58,176,75,19,34,30,71,39,43,62,29,21,10,29,37,20,17,10,2,11
vicenza,19,23,71,52,38,68,31,94,54,59,60,53,80,75,67,70,68,64,74,85,107,80,94,39,57,30,48,103,68,56,46,25,9,47,34,30,96,43,40,11,43,21,29,53,18,17,25,20,28,36,21,12,6,3,10,11,5,8,16,1,14
