name,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
E10000016,7,5,5,8,5,12,14,16,7,21,47,37,54,54,58,49,59,62,93,111,82,92,67,72,142,120,102,117,125,59,117,116,67,174,166,182,101,68,116,125,127,84,111,77,54,75,102,88,69,53,55,34,55,79,65,53,48,31,25,54,55
E10000015,9,4,15,6,5,24,23,22,20,13,58,45,56,49,52,45,63,86,77,84,102,78,54,62,91,78,85,77,76,54,50,57,61,53,57,48,38,33,47,53,49,34,40,25,18,42,52,62,33,49,26,18,40,32,36,19,16,33,5,26,20
E10000014,15,5,11,19,15,17,25,30,23,35,49,34,43,56,58,79,49,85,79,71,87,89,74,74,102,115,86,73,83,52,71,79,64,94,76,86,60,50,83,65,64,63,54,40,27,45,45,39,54,43,18,20,22,20,17,21,17,9,17,32,30
E10000013,3,0,3,4,5,8,2,7,8,8,7,14,24,15,19,23,17,33,30,34,31,30,44,31,36,54,58,41,63,32,38,40,27,42,57,26,32,29,21,34,23,36,28,13,7,33,23,17,13,21,7,11,19,17,10,7,3,1,0,5,1
E10000012,11,4,6,5,10,9,10,15,19,30,51,37,68,62,70,57,54,76,87,108,100,93,84,54,100,90,91,63,57,61,46,81,50,62,53,45,40,27,70,76,61,63,90,76,48,73,40,48,40,57,29,21,44,32,25,47,25,15,11,34,15
E10000007,8,6,10,17,9,11,8,11,20,22,32,21,20,20,28,37,27,39,51,51,26,35,33,8,25,36,43,37,26,23,21,29,31,31,28,38,7,27,23,38,16,25,41,51,62,39,30,22,7,15,10,7,22,23,30,29,11,18,10,12,14
E10000006,7,6,1,12,13,23,26,12,23,16,27,45,47,49,54,28,49,34,68,74,67,43,52,79,97,72,87,69,34,25,34,52,52,36,37,31,23,19,37,43,37,35,42,29,14,39,27,76,44,30,13,5,12,24,25,30,9,1,2,11,2
E09000008,4,14,6,13,21,15,9,25,25,24,36,27,43,44,42,22,26,56,46,55,80,48,45,36,42,44,56,43,25,22,26,26,48,36,31,19,24,7,25,15,19,22,14,8,9,18,18,9,21,8,12,5,11,4,6,4,8,1,1,6,4
E09000006,4,6,6,6,9,13,6,18,16,24,35,30,26,28,30,32,22,39,44,49,36,30,33,26,37,36,43,31,23,23,11,31,20,23,25,22,12,9,14,10,9,27,17,6,5,12,10,30,17,8,11,9,13,12,32,11,19,2,8,6,19
E09000005,3,7,8,10,23,22,22,21,18,26,46,28,46,44,48,32,53,57,46,56,58,55,49,37,37,28,43,29,39,22,26,25,34,26,34,28,24,14,15,16,9,15,10,6,4,5,9,9,12,16,6,3,2,5,8,5,9,6,0,5,5
E09000003,6,6,10,11,7,14,26,21,18,26,31,39,45,55,54,34,30,42,45,37,65,37,38,40,37,44,49,33,21,20,17,22,20,21,13,14,13,9,10,23,6,11,10,7,5,7,14,12,9,4,4,4,7,6,6,5,2,1,1,3,2
E08000025,14,7,12,15,24,32,35,52,30,26,65,67,61,92,69,80,105,123,131,108,102,81,82,70,64,84,88,60,64,30,50,45,82,79,81,93,58,49,54,64,63,53,46,37,32,20,26,44,35,22,21,26,27,51,26,24,31,33,18,30,26
E08000019,4,6,6,14,13,18,26,25,37,43,61,59,48,47,27,65,62,75,110,63,53,43,42,66,64,49,50,53,57,52,35,71,48,76,47,38,59,42,64,40,43,19,42,54,38,48,23,39,36,17,30,29,15,21,16,13,25,23,13,18,10
E08000012,2,2,0,3,4,9,6,10,14,13,18,25,24,34,27,27,36,43,41,46,55,60,47,46,52,67,74,66,34,39,35,36,31,37,44,34,19,21,30,28,21,21,28,23,14,24,21,23,21,18,10,9,10,1,3,2,0,3,3,4,8
E08000003,7,0,3,6,4,3,4,4,3,4,12,9,14,22,14,31,23,24,33,28,35,30,40,36,73,59,53,63,37,43,37,40,49,30,15,15,29,19,31,27,24,20,29,14,17,13,23,17,17,15,14,10,17,26,26,17,11,11,15,15,17
E08000024,0,0,2,2,0,1,3,3,5,2,6,18,10,11,9,4,11,29,46,44,37,48,46,49,60,49,51,47,37,47,29,34,30,49,24,38,32,28,56,21,15,20,21,16,7,16,21,26,25,21,7,7,28,14,9,10,6,34,4,7,6
E10000034,0,1,4,3,6,5,9,14,13,9,14,17,22,23,21,35,28,44,38,34,31,36,16,24,36,43,41,39,31,37,22,25,48,41,35,50,33,15,31,22,28,19,14,13,20,18,17,17,14,13,17,7,8,19,15,10,16,8,5,11,8
E08000035,0,0,2,1,3,4,6,7,6,11,16,18,11,21,21,25,21,27,24,31,30,37,17,36,49,64,43,42,47,35,38,28,36,53,51,50,33,33,43,72,49,46,69,25,21,44,40,35,21,28,25,10,20,28,24,37,13,16,11,9,16
E06000047,0,1,1,0,2,2,2,3,3,3,10,6,13,14,14,19,14,20,25,52,36,37,31,26,86,63,54,58,56,52,29,45,39,44,38,39,46,27,50,45,38,50,41,33,17,29,56,64,46,44,33,14,41,35,24,21,18,23,20,26,17
