name,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
jaen,17.0,13.0,3.0,2.0,25.0,11.0,31.0,19.0,33.0,44.0,44.0,57.0,33.0,65.0,51.0,36.0,98.0,62.0,81.0,46.0,33.0,53.0,40.0,20.0,39.0,17.0,31.0,34.0,42.0,39.0,33.0,8.0,12.0,12.0,32.0,41.0,23.0,12.0,8.0,8.0,23.0,35.0,22.0,5.0,16.0,8.0,11.0,24.0,14.0,30.0,15.0,19.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leon,22.0,1.0,14.0,0.0,28.0,31.0,28.0,30.0,37.0,32.0,57.0,72.0,76.0,78.0,112.0,98.0,95.0,97.0,46.0,43.0,59.0,59.0,79.0,57.0,54.0,29.0,54.0,57.0,58.0,25.0,37.0,104.0,186.0,70.0,184.0,93.0,73.0,94.0,24.0,17.0,112.0,108.0,67.0,126.0,70.0,27.0,33.0,41.0,59.0,37.0,35.0,24.0,11.0,32.0,38.0,58.0,31.0,91.0,63.0,27.0,2.0
lleida,15.0,6.0,5.0,11.0,29.0,35.0,41.0,50.0,38.0,24.0,57.0,93.0,104.0,67.0,88.0,44.0,63.0,63.0,97.0,59.0,59.0,60.0,28.0,22.0,40.0,85.0,75.0,97.0,53.0,27.0,27.0,38.0,48.0,62.0,50.0,44.0,38.0,12.0,24.0,68.0,35.0,25.0,29.0,7.0,2.0,27.0,23.0,14.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malaga,31.0,52.0,55.0,43.0,55.0,28.0,63.0,60.0,21.0,15.0,145.0,154.0,86.0,101.0,47.0,105.0,163.0,28.0,115.0,180.0,81.0,75.0,63.0,53.0,16.0,74.0,68.0,53.0,16.0,60.0,14.0,23.0,81.0,42.0,66.0,43.0,59.0,15.0,6.0,105.0,84.0,98.0,170.0,51.0,16.0,17.0,117.0,38.0,76.0,92.0,16.0,20.0,10.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palencia,1.0,2.0,2.0,1.0,1.0,0.0,8.0,12.0,15.0,9.0,14.0,8.0,19.0,48.0,31.0,50.0,42.0,31.0,32.0,34.0,24.0,44.0,25.0,20.0,14.0,24.0,14.0,21.0,47.0,13.0,15.0,16.0,9.0,3.0,6.0,5.0,14.0,30.0,13.0,37.0,24.0,18.0,56.0,30.0,63.0,36.0,41.0,16.0,19.0,11.0,4.0,19.0,1.0,4.0,18.0,6.0,8.0,2.0,25.0,6.0,12.0
salamanca,5.0,1.0,19.0,1.0,33.0,60.0,24.0,54.0,62.0,50.0,89.0,79.0,50.0,96.0,147.0,106.0,148.0,48.0,107.0,131.0,97.0,76.0,90.0,80.0,60.0,88.0,108.0,41.0,95.0,64.0,78.0,64.0,12.0,22.0,88.0,58.0,77.0,70.0,18.0,49.0,66.0,115.0,49.0,95.0,69.0,42.0,85.0,72.0,49.0,37.0,32.0,46.0,19.0,58.0,126.0,69.0,112.0,154.0,66.0,96.0,7.0
segovia,6.0,7.0,5.0,6.0,0.0,43.0,45.0,35.0,1.0,37.0,29.0,38.0,39.0,61.0,63.0,79.0,64.0,62.0,91.0,91.0,75.0,80.0,85.0,97.0,104.0,97.0,131.0,91.0,101.0,88.0,85.0,68.0,81.0,109.0,88.0,61.0,33.0,43.0,78.0,64.0,85.0,75.0,35.0,25.0,30.0,15.0,43.0,52.0,46.0,69.0,26.0,15.0,19.0,58.0,58.0,37.0,35.0,78.0,39.0,49.0,12.0
sevilla,18.0,33.0,22.0,16.0,23.0,15.0,52.0,55.0,50.0,56.0,76.0,108.0,92.0,81.0,122.0,82.0,140.0,67.0,96.0,156.0,91.0,73.0,67.0,61.0,50.0,44.0,68.0,62.0,60.0,87.0,32.0,17.0,76.0,64.0,55.0,21.0,30.0,16.0,26.0,43.0,49.0,19.0,43.0,29.0,9.0,12.0,30.0,24.0,20.0,13.0,40.0,6.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soria,1.0,3.0,1.0,5.0,7.0,23.0,18.0,22.0,39.0,16.0,5.0,39.0,84.0,76.0,33.0,59.0,92.0,27.0,5.0,104.0,27.0,66.0,17.0,34.0,21.0,13.0,12.0,23.0,26.0,29.0,63.0,23.0,40.0,42.0,37.0,47.0,52.0,6.0,6.0,103.0,120.0,13.0,33.0,41.0,19.0,66.0,18.0,28.0,28.0,26.0,86.0,23.0,32.0,39.0,87.0,69.0,75.0,55.0,51.0,0.0,12.0
tarragona,1.0,11.0,5.0,7.0,10.0,0.0,18.0,40.0,0.0,0.0,92.0,37.0,44.0,81.0,51.0,87.0,83.0,82.0,32.0,52.0,97.0,79.0,42.0,0.0,140.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,26.0,13.0,49.0,33.0,46.0,32.0,23.0,9.0,3.0,16.0,9.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toledo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,46.0,95.0,142.0,416.0,80.0,77.0,30.0,19.0,71.0,66.0,99.0,116.0,89.0,94.0,49.0,29.0,65.0,109.0,103.0,60.0,24.0,12.0,46.0,51.0,59.0,73.0,99.0,46.0,21.0
valencia,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,236.0,245.0,177.0,189.0,215.0,202.0,148.0,116.0,146.0,87.0,61.0,99.0,238.0,179.0,159.0,88.0,113.0,25.0,97.0,142.0,140.0,160.0,83.0,58.0,41.0,74.0,116.0,100.0,57.0,133.0,24.0,147.0,55.0,95.0,63.0,135.0,72.0,119.0,0.0,0.0,94.0,91.0,68.0,75.0,10.0,25.0
valladolid,7.0,10.0,19.0,16.0,18.0,8.0,33.0,86.0,40.0,61.0,47.0,61.0,91.0,97.0,94.0,115.0,79.0,43.0,59.0,121.0,79.0,102.0,62.0,51.0,42.0,157.0,84.0,160.0,139.0,138.0,234.0,135.0,180.0,164.0,110.0,121.0,31.0,31.0,26.0,44.0,92.0,132.0,55.0,103.0,95.0,49.0,35.0,46.0,70.0,28.0,0.0,47.0,3.0,51.0,68.0,26.0,48.0,63.0,34.0,9.0,42.0
zamora,3.0,0.0,3.0,4.0,4.0,10.0,5.0,15.0,13.0,11.0,20.0,10.0,3.0,3.0,18.0,44.0,24.0,17.0,8.0,9.0,52.0,18.0,27.0,16.0,1.0,2.0,18.0,8.0,38.0,2.0,6.0,40.0,5.0,23.0,48.0,42.0,23.0,3.0,13.0,6.0,9.0,19.0,5.0,11.0,9.0,3.0,0.0,30.0,16.0,13.0,19.0,2.0,0.0,4.0,11.0,24.0,6.0,14.0,17.0,7.0,28.0
